id,sett_prod,anno,imballo,lotto,desc1,desc2,desc3,q_iniz,mov,magazzino,mv,mo,cv,co,ce,contratto,acquirente,created_at,updated_at,rt,lotto_padre
2,43,2025,BIG BAG N° 4,S106/2025,BIOLOGICHE,SGUSCIATE,11/13,1000,0,ABC Service,0.002,0.04,0,0.13,0,,,2026-05-19T08:15:04.659172+00:00,2026-06-11T20:49:55.688246+00:00,0,
80,17,2025,BIG 5,FA04/2026,CONVENZIONALI,SGUSCIATE,9/11,1000,1000,ABC Service,0.007,0.0166,0,0.0066,0,,,2026-05-19T08:15:05.15474+00:00,2026-06-16T14:52:23.378749+00:00,0.036,
50,10,2025,BIG BAG N° 9,S104/2025,FAIR FOR LIFE,SGUSCIATE,13/15,1000,0,Vignanello,0.002,0.0466,0,0.0666,0,,,2026-05-19T08:15:04.659172+00:00,2026-06-11T20:44:58.222249+00:00,0,
291,17,2025,BIG 5,FA04/2026,CONVENZIONALI,GRANELLA,9/11,900,0,ABC Service,0.007,0.0166,0,0.0066,0,,,2026-06-16T14:52:23.236337+00:00,2026-06-16T14:52:23.236337+00:00,0.036,80
154,43,2025,BIG 11,FA10/2025,CONVENZIONALI,SGUSCIATE,13/15,1000,0,Fabbrica,0.11,0.0866,0,0.0566,0,,,2026-05-19T08:15:05.595061+00:00,2026-06-11T20:44:58.222249+00:00,0.008,
201,46,2025,BIG BAG N° 15,SO112025,CONVENZIONALI,SGUSCIATE,13/15,1000,0,Fabbrica,0,0.02,0,0.0333,0,,,2026-05-19T08:15:05.752719+00:00,2026-06-11T20:44:58.222249+00:00,0,
3,43,2025,BIG BAG N° 5,S106/2025,BIOLOGICHE,SGUSCIATE,11/13,1000,0,Vignanello,0.003,0.0233,0,0.1333,0,,,2026-05-19T08:15:04.659172+00:00,2026-06-11T20:44:58.222249+00:00,0,
4,43,2025,BIG BAG N° 7,S106/2025,BIOLOGICHE,SGUSCIATE,11/13,600,0,Vignanello,0.001,0.03,0,0.0866,0,,,2026-05-19T08:15:04.659172+00:00,2026-06-11T20:44:58.222249+00:00,0,
5,43,2025,BIG BAG N° 8,S106/2025,BIOLOGICHE,SGUSCIATE,11/13,596,0,Vignanello,0.003,0.02,0,0.15,0,,,2026-05-19T08:15:04.659172+00:00,2026-06-11T20:44:58.222249+00:00,0,
6,15,2025,BIG BAG N° 1,S109/2025,BIOLOGICHE,SGUSCIATE,11/13,977,0,Vignanello,0.002,0.0466,0,0.1266,0,,,2026-05-19T08:15:04.659172+00:00,2026-06-11T20:44:58.222249+00:00,0,
7,40,2025,BIG BAG N°11,S120/2025,BIOLOGICHE,SGUSCIATE,13/15,1000,0,Vignanello,0,0.0233,0,0.1133,0,,,2026-05-19T08:15:04.659172+00:00,2026-06-11T20:44:58.222249+00:00,0,
