id,sett_prod,anno,imballo,lotto,desc1,desc2,desc3,q_iniz,mov,magazzino,mv,mo,cv,co,ce,contratto,acquirente,created_at,updated_at,rt,lotto_padre,anno_raccolta,conto_lavoro
3,43,2025,BIG BAG N° 5,S106/2025,BIOLOGICHE,SGUSCIATE,11/13,1000,0,Vignanello,0.003,0.0233,0,0.1333,0,,,2026-06-23T14:23:24.64299+00:00,2026-06-23T14:23:24.64299+00:00,0,,2025,false
4,43,2025,BIG BAG N° 7,S106/2025,BIOLOGICHE,SGUSCIATE,11/13,600,0,Vignanello,0.001,0.03,0,0.0866,0,,,2026-06-23T14:23:24.64299+00:00,2026-06-23T14:23:24.64299+00:00,0,,2025,false
5,43,2025,BIG BAG N° 8,S106/2025,BIOLOGICHE,SGUSCIATE,11/13,496,0,Vignanello,0.003,0.02,0,0.15,0,,,2026-06-23T14:23:24.64299+00:00,2026-06-23T14:23:24.64299+00:00,0,,2025,false
6,15,2026,BIG BAG N° 1,S109/2025,BIOLOGICHE,SGUSCIATE,11/13,977,0,Vignanello,0.002,0.0466,0,0.1266,0,,,2026-06-23T14:23:24.64299+00:00,2026-06-23T14:23:24.64299+00:00,0,,2025,false
7,40,2025,BIG BAG N°11,S120/2025,BIOLOGICHE,SGUSCIATE,13/15,1000,0,Vignanello,0,0.0233,0,0.1133,0,,,2026-06-23T14:23:24.64299+00:00,2026-06-23T14:23:24.64299+00:00,0,,2025,false
8,42,2025,BIG BAG N°5,S121/2025,BIOLOGICHE,SGUSCIATE,13/15,300,0,Vignanello,0,0.0166,0,0.0833,0,,,2026-06-23T14:23:24.64299+00:00,2026-06-23T14:23:24.64299+00:00,0,,2025,false
9,43,2025,BIG BAG N° 1,S106/2025,BIOLOGICHE,SGUSCIATE,13/15,1000,0,Vignanello,0,0.0366,0,0.0833,0,,,2026-06-23T14:23:24.64299+00:00,2026-06-23T14:23:24.64299+00:00,0,,2025,false
10,43,2025,BIG BAG N° 6,S106/2025,BIOLOGICHE,SGUSCIATE,13/15,1000,0,Vignanello,0,0.0233,0,0.0966,0,,,2026-06-23T14:23:24.64299+00:00,2026-06-23T14:23:24.64299+00:00,0,,2025,false
11,43,2025,BIG BAG N° 7,S106/2025,BIOLOGICHE,SGUSCIATE,13/15,1000,0,Vignanello,0.003,0.0433,0,0.1666,0,,,2026-06-23T14:23:24.64299+00:00,2026-06-23T14:23:24.64299+00:00,0,,2025,false
12,43,2025,BIG BAG N° 8,S106/2025,BIOLOGICHE,SGUSCIATE,13/15,1000,0,Vignanello,0.001,0.0166,0,0.12,0,,,2026-06-23T14:23:24.64299+00:00,2026-06-23T14:23:24.64299+00:00,0,,2025,false
13,43,2025,BIG BAG N° 9,S106/2025,BIOLOGICHE,SGUSCIATE,13/15,1000,0,Vignanello,0.002,0.04,0,0.1133,0,,,2026-06-23T14:23:24.64299+00:00,2026-06-23T14:23:24.64299+00:00,0,,2025,false
14,43,2025,BIG BAG N° 10,S106/2025,BIOLOGICHE,SGUSCIATE,13/15,1000,0,Vignanello,0.002,0.0366,0,0.1,0,,,2026-06-23T14:23:24.64299+00:00,2026-06-23T14:23:24.64299+00:00,0,,2025,false
15,43,2025,BIG BAG N° 11,S106/2025,BIOLOGICHE,SGUSCIATE,13/15,1000,0,Vignanello,0.002,0.04,0,0.1333,0,,,2026-06-23T14:23:24.64299+00:00,2026-06-23T14:23:24.64299+00:00,0,,2025,false
16,15,2026,BIG BAG N° 1,S109/2025,BIOLOGICHE,SGUSCIATE,13/15,1000,0,Vignanello,0.001,0.05,0,0.11,0,,,2026-06-23T14:23:24.64299+00:00,2026-06-23T14:23:24.64299+00:00,0,,2025,false
17,15,2026,BIG BAG N° 2,S109/2025,BIOLOGICHE,SGUSCIATE,13/15,670,0,Vignanello,0.001,0.05,0,0.11,0,,,2026-06-23T14:23:24.64299+00:00,2026-06-23T14:23:24.64299+00:00,0,,2025,false
18,43,2025,BIG BAG,VARI,BIOLOGICHE,SCARTI,13/15,560,0,Vignanello,0.359,0.09,0,0.37,0.026,,,2026-06-23T14:23:24.64299+00:00,2026-06-23T14:23:24.64299+00:00,0,,2025,false
19,43,2025,BIG BAG,VARI,BIOLOGICHE,SCARTI,11/13,415,0,Vignanello,0.426,0.12,0,0.29,0.018,,,2026-06-23T14:23:24.64299+00:00,2026-06-23T14:23:24.64299+00:00,0,,2025,false
20,45,2025,BIG BAG N°3,S102/2025,FAIR FOR LIFE,SGUSCIATE,9/11,746,0,Vignanello,0.003,0.02,0,0.0666,0,,,2026-06-23T14:23:24.64299+00:00,2026-06-23T14:23:24.64299+00:00,0,,2025,false
