id,tipo,data,imballo,lotto,desc1,desc2,desc3,qta,magazzino,contratto_id,created_at,lotto_id,utente,ddt
48,TRASFERIMENTO,2026-06-29,BIG BAG N° 3,S106/2025,BIOLOGICHE,SGUSCIATE,11/13,1000,ABC Service,Vignanello,2026-06-29T08:57:43.070206+00:00,1,gabriele.cristofori98@gmail.com,1
49,TRASFERIMENTO,2026-06-29,BIG BAG N° 8,S106/2025,BIOLOGICHE,SGUSCIATE,11/13,496,ABC Service,Vignanello,2026-06-29T09:20:50.682617+00:00,5,gabriele.cristofori98@gmail.com,1
50,TRASFORMAZIONE,2026-06-29,BIG BAG N° 3,S106/2025,BIOLOGICHE,SGUSCIATE,11/13,1000,ABC Service,TRASF:447,2026-06-29T09:29:51.436352+00:00,1,gabriele.cristofori98@gmail.com,
51,TRASFORMAZIONE,2026-06-29,BIG BAG N° 8,S106/2025,BIOLOGICHE,SGUSCIATE,11/13,496,ABC Service,TRASF:447,2026-06-29T09:29:51.436352+00:00,5,gabriele.cristofori98@gmail.com,
52,ENTRATA,2026-06-29,,AB01,BIOLOGICHE,FARINA,UNICO,1300,ABC Service,,2026-06-29T09:29:51.436352+00:00,447,gabriele.cristofori98@gmail.com,
53,TRASFERIMENTO,2026-06-29,BIG 5,FA04/2026,CONVENZIONALI,SGUSCIATE,9/11,1000,ABC Service,Fabbrica,2026-06-29T09:30:44.525065+00:00,85,gabriele.cristofori98@gmail.com,1
54,TRASFERIMENTO,2026-06-29,BIG 6,FA04/2026,CONVENZIONALI,SGUSCIATE,9/11,429,ABC Service,Fabbrica,2026-06-29T09:30:44.863042+00:00,86,gabriele.cristofori98@gmail.com,1
55,TRASFERIMENTO,2026-06-29,BIG 7,FA05/2026,CONVENZIONALI,SGUSCIATE,9/11,1000,ABC Service,Fabbrica,2026-06-29T09:30:45.118829+00:00,87,gabriele.cristofori98@gmail.com,1
56,TRASFERIMENTO,2026-06-29,BIG 1,FI1459/2026,CONVENZIONALI,SGUSCIATE,9/11,1000,ABC Service,Fabbrica,2026-06-29T09:30:45.381074+00:00,88,gabriele.cristofori98@gmail.com,1
57,TRASFORMAZIONE,2026-06-29,BIG 5,FA04/2026,CONVENZIONALI,SGUSCIATE,9/11,1000,ABC Service,TRASF:448,2026-06-29T09:31:11.881731+00:00,85,gabriele.cristofori98@gmail.com,
58,TRASFORMAZIONE,2026-06-29,BIG 6,FA04/2026,CONVENZIONALI,SGUSCIATE,9/11,429,ABC Service,TRASF:448,2026-06-29T09:31:11.881731+00:00,86,gabriele.cristofori98@gmail.com,
59,TRASFORMAZIONE,2026-06-29,BIG 7,FA05/2026,CONVENZIONALI,SGUSCIATE,9/11,1000,ABC Service,TRASF:448,2026-06-29T09:31:11.881731+00:00,87,gabriele.cristofori98@gmail.com,
60,TRASFORMAZIONE,2026-06-29,BIG 1,FI1459/2026,CONVENZIONALI,SGUSCIATE,9/11,1000,ABC Service,TRASF:448,2026-06-29T09:31:11.881731+00:00,88,gabriele.cristofori98@gmail.com,
61,ENTRATA,2026-06-29,,AB02,CONVENZIONALI,GRANELLA,UNICO,3000,ABC Service,,2026-06-29T09:31:11.881731+00:00,448,gabriele.cristofori98@gmail.com,
62,TRASFERIMENTO,2026-06-29,BIG BAG N° 2,SO062026,CONVENZIONALI,SGUSCIATE,9/11,1000,ABC Service,Vignanello,2026-06-29T09:34:09.542616+00:00,81,gabriele.cristofori98@gmail.com,3
63,TRASFERIMENTO,2026-06-29,BIG BAG N° 3,SO062026,CONVENZIONALI,SGUSCIATE,9/11,1000,ABC Service,Vignanello,2026-06-29T09:34:10.001262+00:00,82,gabriele.cristofori98@gmail.com,3
64,TRASFORMAZIONE,2026-06-29,BIG BAG N° 2,SO062026,CONVENZIONALI,SGUSCIATE,9/11,1000,ABC Service,TRASF:449,2026-06-29T09:34:28.758754+00:00,81,gabriele.cristofori98@gmail.com,
65,TRASFORMAZIONE,2026-06-29,BIG BAG N° 3,SO062026,CONVENZIONALI,SGUSCIATE,9/11,1000,ABC Service,TRASF:449,2026-06-29T09:34:28.758754+00:00,82,gabriele.cristofori98@gmail.com,
66,ENTRATA,2026-06-29,,AB03,CONVENZIONALI,FARINA,UNICO,1000,ABC Service,,2026-06-29T09:34:28.758754+00:00,449,gabriele.cristofori98@gmail.com,
67,USCITA,2026-06-29,,AB01,BIOLOGICHE,FARINA,UNICO,1300,ABC Service,,2026-06-29T09:35:25.37557+00:00,447,gabriele.cristofori98@gmail.com,5
68,USCITA,2026-06-29,,AB03,CONVENZIONALI,FARINA,UNICO,1000,ABC Service,,2026-06-29T09:35:26.543106+00:00,449,gabriele.cristofori98@gmail.com,5
