id,sett_prod,anno,imballo,lotto,desc1,desc2,desc3,q_iniz,mov,magazzino,mv,mo,cv,co,ce,contratto,acquirente,created_at,updated_at,rt,lotto_padre,anno_raccolta,conto_lavoro,intragruppo,partner_id
3,43,2025,BIG BAG N° 8,S106/2025,BIOLOGICHE,SGUSCIATE,11/13,400,0,Vignanello,0.003,0.02,0,0.15,0,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0,,2025,false,false,
4,43,2025,BIG BAG N° 8,S106/2025,BIOLOGICHE,SGUSCIATE,11/13,96,0,Vignanello,0.003,0.02,0,0.15,0,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0,,2025,false,false,
5,15,2026,BIG BAG N° 1,S109/2025,BIOLOGICHE,SGUSCIATE,11/13,977,0,Vignanello,0.002,0.0466,0,0.1266,0,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0,,2025,false,false,
6,40,2025,BIG BAG N°11,S120/2025,BIOLOGICHE,SGUSCIATE,13/15,1000,0,Vignanello,0,0.0233,0,0.1133,0,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0,,2025,false,false,
7,42,2025,BIG BAG N°5,S121/2025,BIOLOGICHE,SGUSCIATE,13/15,300,0,Vignanello,0,0.0166,0,0.0833,0,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0,,2025,false,false,
8,43,2025,BIG BAG N° 1,S106/2025,BIOLOGICHE,SGUSCIATE,13/15,1000,0,Vignanello,0,0.0366,0,0.0833,0,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0,,2025,false,false,
9,43,2025,BIG BAG N° 6,S106/2025,BIOLOGICHE,SGUSCIATE,13/15,1000,0,Vignanello,0,0.0233,0,0.0966,0,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0,,2025,false,false,
10,43,2025,BIG BAG N° 7,S106/2025,BIOLOGICHE,SGUSCIATE,13/15,1000,0,Vignanello,0.003,0.0433,0,0.1666,0,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0,,2025,false,false,
11,43,2025,BIG BAG N° 8,S106/2025,BIOLOGICHE,SGUSCIATE,13/15,1000,0,Vignanello,0.001,0.0166,0,0.12,0,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0,,2025,false,false,
12,43,2025,BIG BAG N° 9,S106/2025,BIOLOGICHE,SGUSCIATE,13/15,1000,0,Vignanello,0.002,0.04,0,0.1133,0,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0,,2025,false,false,
13,43,2025,BIG BAG N° 10,S106/2025,BIOLOGICHE,SGUSCIATE,13/15,1000,0,Vignanello,0.002,0.0366,0,0.1,0,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0,,2025,false,false,
14,43,2025,BIG BAG N° 11,S106/2025,BIOLOGICHE,SGUSCIATE,13/15,1000,0,Vignanello,0.002,0.04,0,0.1333,0,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0,,2025,false,false,
15,15,2026,BIG BAG N° 1,S109/2025,BIOLOGICHE,SGUSCIATE,13/15,1000,0,Vignanello,0.001,0.05,0,0.11,0,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0,,2025,false,false,
16,15,2026,BIG BAG N° 2,S109/2025,BIOLOGICHE,SGUSCIATE,13/15,670,0,Vignanello,0.001,0.05,0,0.11,0,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0,,2025,false,false,
17,43,2025,BIG BAG,VARI,BIOLOGICHE,SCARTI,13/15,560,0,Vignanello,0.359,0.09,0,0.37,0.026,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0,,2025,false,false,
18,43,2025,BIG BAG,VARI,BIOLOGICHE,SCARTI,11/13,415,0,Vignanello,0.426,0.12,0,0.29,0.018,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0,,2025,false,false,
19,12,2026,BIG BAG N° 5,S105/2025,FAIR FOR LIFE,SGUSCIATE,11/13,962,0,Vignanello,0,0,0,0,0,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0,,2025,false,false,
20,7,2026,BIG BAG,S103/2026,FAIR FOR LIFE,ROTTAME,DA SCEGLIERE,990,0,Vignanello,0.365,0,0,0,0.139,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0,,2025,false,false,
21,7,2026,BIG BAG,S103/2026,FAIR FOR LIFE,ROTTAME,DA SCEGLIERE,872,0,Vignanello,0.392,0,0,0,0.164,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0,,2025,false,false,
22,10,2026,BIG BAG,S104/2026,FAIR FOR LIFE,ROTTAME,DA SCEGLIERE,931,0,Vignanello,0.356,0,0,0,0.236,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0,,2025,false,false,
23,10,2026,BIG BAG,S104/2026,FAIR FOR LIFE,ROTTAME,DA SCEGLIERE,949,0,Vignanello,0.413,0,0,0,0.197,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0,,2025,false,false,
24,10,2026,BIG BAG,S104/2026,FAIR FOR LIFE,ROTTAME,DA SCEGLIERE,1026,0,Vignanello,0.009,0,0,0,0.004,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0,,2025,false,false,
25,10,2026,BIG BAG,S104/2026,FAIR FOR LIFE,ROTTAME,DA SCEGLIERE,926,0,Vignanello,0.307,0,0,0,0.158,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0,,2025,false,false,
26,12,2026,BIG BAG,S105/2025,FAIR FOR LIFE,ROTTAME,DA SCEGLIERE,890,0,Vignanello,0.275,0,0,0,0.116,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0,,2025,false,false,
27,12,2026,BIG BAG,S105/2025,FAIR FOR LIFE,ROTTAME,DA SCEGLIERE,940,0,Vignanello,0.284,0,0,0,0.158,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0,,2025,false,false,
28,12,2026,BIG BAG,S105/2025,FAIR FOR LIFE,ROTTAME,DA SCEGLIERE,746,0,Vignanello,0.012,0,0,0,0.008,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0,,2025,false,false,
29,10,2026,BIG BAG,S102-S103-S104-S105/2025,FAIR FOR LIFE,SCARTI,11/13,665,0,Vignanello,0.365,0.22,0,0.18,0.005,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0,,2025,false,false,
30,10,2026,BIG BAG,S102-S103-S104-S105/2025,FAIR FOR LIFE,SCARTI,13/15,653,0,Vignanello,0.329,0.25,0,0.23,0.019,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0,,2025,false,false,
31,16,2026,BIG BAG N° 1,SO042026,CONVENZIONALI,SGUSCIATE,9/11,1000,0,Fabbrica,0.002,0.015,0,0.035,0,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0,,2025,false,false,
32,16,2026,BIG BAG N° 2,SO042026,CONVENZIONALI,SGUSCIATE,9/11,1000,0,Fabbrica,0.002,0.005,0,0.045,0,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0,,2025,false,false,
33,17,2026,BIG BAG N° 3,SO04/2026,CONVENZIONALI,SGUSCIATE,9/11,1000,0,Fabbrica,0.001,0.005,0,0.02,0,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0,,2025,false,false,
34,24,2026,BIG BAG N° 1,SO062026,CONVENZIONALI,SGUSCIATE,9/11,1000,0,Vignanello,0.008,0.0433,0,0.0666,0,,,2026-08-19T21:24:58.875404+00:00,2026-08-19T21:24:58.875404+00:00,0,,2025,false,false,
